Loans,Loan requests,tick,Banks,Total central bank loans,Total cash & reserve,Total client loans,Total current accounts,Total interbank loans,Total securities,Total term deposits
240,65511,1,401,348220.610569239,1965932.80176413,5164311.4495677,3027106.37303948,135542.332171012,1399856.09466818,3183427.10848542
396,7149,2,401,174099.83300564,1353266.00321294,5005503.56253154,2867978.72279653,772963.961418171,2001742.63617958,3344729.02214032
783,10008,3,401,156287.174041231,924824.341457926,5111220.23511794,2973104.76672972,206193.179343879,2177906.33887624,3112623.12013129
613,27970,4,401,364003.956197209,1321415.33252623,5083364.66558412,3057140.507908,472397.952476668,2308947.79702587,3329570.15113422
59,97,5,401,215350.457276236,1154193.94301423,4831273.59882366,2801773.31651021,60960.4539430339,2550899.45478341,3552953.91830073
332,35105,6,401,306728.48113189,943904.029349598,5044004.02688015,3024749.0122094,399556.873537224,2588493.52262568,3281912.89698019
382,63726,7,401,537620.529554492,1042833.87418994,5108751.21044765,3113106.14971515,235522.27445114,2608215.0645347,3149790.84134713
444,29722,8,401,633551.187476299,999992.333449915,4598351.6177165,2611316.78386094,419371.239800485,2656170.40414832,3048605.64794226
275,80373,9,401,849598.583914583,1116783.13711428,4869246.22325156,2974387.40921913,252874.507495137,2668716.93986356,2878771.44707017
378,30123,10,401,888384.316139719,1123805.10213469,4759592.07589104,2902535.68866736,311137.028637653,2703306.82566595,2846815.64345233
77,146,11,401,709114.246689576,1304936.12640905,4394702.86360458,2534005.25281594,49480.501537321,2850318.70099822,3354228.61250909
98,101,12,401,629027.620236924,1045635.93660549,4246090.18219269,2383826.96964414,142531.828412406,2933874.22565467,3260188.55793526
387,13763,13,401,732527.057328619,698032.65327592,3880999.85535374,2070911.02687929,451421.981858252,2940020.78013378,2768028.85155855
242,691,14,401,661210.893489649,1037894.11377549,4402446.45260764,2591615.65712388,257715.170440563,3005709.7858252,3246064.53074211
241,312,15,401,574327.748194713,848729.881920326,4375197.54286948,2563230.45489901,209803.750549795,3042970.12214453,3183219.40983299
273,55656,16,401,1009509.66322322,876155.477618122,4201686.42514572,2476211.27038009,269659.101356514,3054961.26303515,2708566.884893
35,38,17,401,720223.689605813,1335234.29129835,3246971.62533165,1510871.37694632,18314.5098282069,3197192.07864214,3599162.48779762
123,142,18,401,394719.249951319,730842.383149777,4087508.27009194,2350414.08343646,169973.316083655,3281770.63480879,3406905.10898673
266,78928,19,401,912348.188954784,714878.975655169,4475939.2399704,2799896.26680788,232445.03773236,3289676.98411097,2831494.62719643
340,49967,20,401,1079462.3774891,846217.641295564,3705314.45351692,2058286.14610999,201578.133650774,3307264.9170769,2781400.9750323
236,568,21,401,816824.090840966,1052389.58664886,4337290.31307952,2690255.58244224,230987.599879207,3378353.02485948,3321299.31481631
84,117,22,401,647734.899297133,734120.505417598,3460793.25927278,1804995.34972207,72832.6549504517,3404197.43379897,3199525.54147012
463,72541,23,401,1067749.48908569,783398.984681991,4591005.03867518,2968521.93695626,297188.432384219,3420069.83862962,2817243.28288346
292,598,24,401,972510.010350257,799065.802189656,3631120.59138899,1998203.90640909,351204.487365628,3490524.56412932,3000932.15097575
284,1534,25,401,696116.440984023,669269.705914547,3460242.68781307,1825354.00259286,326330.024420972,3524172.0252041,3181632.06269494
295,63628,26,401,1377977.79989427,828970.741836662,3981458.49843641,2387576.37079183,208861.044694507,3530031.00343578,2631894.37043191
396,7202,27,401,1371867.13993731,890269.852540675,3058607.53206527,1470493.57766798,355972.369294257,3530872.38244175,2686754.69036425
62,62,28,401,812734.422642425,1122666.82471137,3803808.36011582,2215274.65211572,61846.1946107982,3601738.62957644,3549150.62696451
431,19923,29,401,851858.712320794,393512.357202978,4129988.44788867,2542278.98498177,398455.478226341,3611897.25216261,2797325.70725143
440,62808,30,401,1343411.67262417,1003845.11264138,3952852.25933843,2401932.58594907,180828.86739096,3615440.26010214,2884198.49622952
103,110,31,401,1163158.97121131,979766.059145533,3697039.20109787,2143480.83019281,79666.3069367914,3628573.54395628,3053830.98355553
32,32,32,401,919248.821349321,1020473.71138277,3556969.3173452,2001657.39059276,22343.6132466247,3646825.21723354,3356700.45893201
117,129,33,401,825466.429819615,892751.121834811,3594108.76871374,2037500.44589264,138123.425703068,3665254.25708217,3342882.77531385
301,39583,34,401,1137741.54395727,577048.105063794,3682218.76348562,2126679.55842434,346965.101827968,3666293.62425672,2720799.42631851
104,112,35,401,1025480.54744991,1129540.11081091,3392871.02745382,1834069.41565073,106107.318291594,3671310.66227294,3391254.86751116
186,264,36,401,992069.612093878,581536.567738046,3758969.58632919,2199717.87924404,240766.335185279,3674446.79021242,2885100.07081871
337,53941,37,401,1342167.76448606,918263.237878231,3542853.64650418,2079391.42061267,272149.357449433,3675960.98440442,2785012.28642115
207,282,38,401,1222894.24645035,953128.119945046,3440135.62273041,1974431.89735569,161565.712810458,3677031.94826383,2940289.35903428
350,32893,39,401,1098270.27512601,972904.753751206,4369180.78696938,2924302.76428625,285137.676044997,3706005.61598042,3095740.82581751
61,64,40,401,918793.964572277,790833.08613216,3337418.49951297,1881496.00422604,50492.9609892305,3714567.05984204,3103609.01674693
259,446,41,401,877778.717509371,767746.286811405,3776137.25091242,2319852.7725401,300396.398389116,3732861.20313214,3140790.78402882
214,87869,42,401,1314668.39841908,780317.066502065,4142481.11459638,2690950.21439955,190384.401024871,3736917.87919432,2719267.81053946
221,400,43,401,1264499.37880709,972754.680964352,3879839.83123931,2424735.66662365,190666.28976465,3742081.91118474,2967296.40287414
370,2616,44,401,1215837.81962164,440685.097386464,3139772.22670617,1677766.56668104,424704.725073786,3744583.14840593,2492381.61249782
292,447,45,401,1179433.50115111,944176.162429554,3544931.54410183,2082634.94148321,334377.820848659,3751149.45868069,3039276.42280394
68,79,46,401,933293.278210026,864586.588555845,3655852.94066726,2193069.75918055,49932.5168380937,3761309.13674266,3217035.62856235
312,506,47,401,929412.568272666,596321.435951112,3786723.13507946,2322891.70890241,375300.579578376,3775553.81161853,2970796.44316046
84,86,48,401,837117.227271076,971737.408000011,3205773.18741658,1735649.29695558,44614.19068389,3787193.15271525,3450237.16140718
278,591,49,401,812429.696966527,528878.031932336,4062037.89322254,2591908.23840827,343942.020158442,3802919.71355313,3051844.3298305
198,209,50,401,809053.752707125,791683.084211737,3509455.18266651,2034027.97001543,175790.676258562,3818530.07411443,3334403.68677361
365,18758,51,401,897368.532694476,531990.082501447,3642748.37465502,2166428.35868465,392608.043293634,3819850.34431346,2991148.7248938
233,78900,52,401,1653336.17693078,1053930.80836478,3891060.49376361,2601600.99507098,122648.777704101,3826389.11226869,2594612.53945718
89,93,53,401,1345142.25837004,1109936.59587039,3417542.35787935,2122944.68850003,60362.7115403365,3834555.14503805,2968037.86001416
97,119,54,400,951809.309858853,805531.076888451,3267684.80645063,1972855.18640097,100593.152338193,3824079.29143429,3043455.89089811
93,97,55,400,901819.221040032,975279.756867093,3326297.81213566,2029250.61704275,62085.5776597561,3831070.7502285,3270489.44136723
151,154,56,400,820409.587169822,957353.534153942,3351585.82947764,2053113.91133301,110273.467016717,3847573.92970583,3351185.05632636
355,18671,57,400,960195.406336773,379819.898169249,2859381.95523769,1567118.39089733,417717.017730584,3847573.92970583,2631624.46887078
383,67885,58,400,1275059.45863431,969187.648540348,3868480.55813217,2601130.29384865,251680.383861742,3859751.01917789,2895125.17292465
102,115,59,399,1066935.93512747,882849.589099174,3338773.75978729,2069104.23329206,85664.9652631631,3851274.72205773,3005849.97507373
78,87,60,399,977273.467334077,980902.856733099,3489028.15672321,2218946.64922302,99080.114998567,3860741.42188848,3203723.59483036
306,479,61,399,976932.715257563,741528.902482408,4024858.08511633,2754617.70963232,333736.34152826,3895842.72352603,3001810.82202181
252,60941,62,399,1330595.45455709,677021.346044036,3477268.31624289,2217984.85625834,232982.707352185,3896978.62390047,2574364.65430168
167,227,63,399,1237826.89473681,957274.245583296,3041296.45744101,1774359.85144004,158289.55451227,3897461.76395304,2948075.71613646
165,291,64,399,855458.609156763,725432.940863131,3564779.57840853,2297313.54466271,221775.899378845,3910709.38992004,3112319.75032463
379,5314,65,399,859596.602425312,530837.23888379,3510958.98175853,2239780.26907401,413702.834195977,3914544.39321863,2920450.94330438
258,375,66,399,835544.292720687,723009.367681728,3475621.58734318,2201459.039457,329245.796568991,3918588.56278807,3141158.89469255
308,39197,67,399,1100613.04853398,613239.660946767,3348391.21858976,2073118.59149783,285875.604100414,3919114.07078616,2770683.60542474
287,507,68,399,1090971.20687,720018.770801164,3187816.88950626,1909716.90818733,260814.811101947,3919151.63416964,2887533.63645177
161,287,69,399,997801.460852345,704240.399864932,3261597.75762852,1983150.45193713,186262.92109834,3919151.63416964,2965565.97407389
299,630,70,399,981026.657407046,581508.06650996,3009339.35191851,1727453.16847106,335378.086585835,3919211.02195935,2861499.99551523
367,11712,71,399,1051236.24609958,604329.921035,2738237.052376,1467668.49450209,334666.321609082,3919211.02195935,2802589.82651723
301,1329,72,399,992126.982086134,631755.741122284,3104592.25543292,1833784.46996159,340771.392581944,3920754.73296037,2891923.98223604
256,458,73,399,944544.231200245,654128.849117206,3504059.44437908,2231737.01699151,272349.654936103,3925393.7137925,2967466.13544858
273,455,74,399,912351.883972677,694086.776244832,3260000.80610075,1983497.54374041,306957.643491296,3934917.90233662,3050396.47218168
413,33161,75,399,977220.663027124,609622.733332279,3296823.94839824,2019491.07606468,329730.872169734,3942360.53848254,2910330.91051433
422,18870,76,398,1001552.88102862,632275.158589799,3051146.04858323,1779833.45435048,350803.637064557,3928036.77894439,2886623.72457486
290,765,77,398,981455.228878735,622702.545109617,2951963.16858276,1679529.92609137,317574.770197786,3928160.08204173,2897946.05468618
240,67022,78,398,1439339.57126401,751054.068848354,3575849.77442841,2347766.22132997,240560.226569429,3928846.35111862,2531852.92840882
93,116,79,398,1205866.54243656,1123752.53166063,3185809.6648726,1953922.75133816,107691.471187011,3936782.13124831,3146441.25056798
139,156,80,398,810882.461079624,785680.792917644,3112175.75182727,1878355.17582462,227321.430675039,3946185.43752565,3217520.94968659
364,26361,81,396,977222.944630484,685528.936556672,3785987.65544111,2578193.89819542,369335.772791098,3941508.52058152,2929670.78885251
347,11393,82,396,896383.052329385,587246.453317755,3399899.15691031,2188405.12637117,317646.03196445,3942719.48630624,2914679.21983007
336,19066,83,396,917734.840111735,598683.769782748,3203504.95170479,1990079.94579268,362135.632656156,3943155.36430587,2909089.72390892
191,251,84,395,884402.032034143,809867.970746799,3209246.81610272,1987467.4502116,207913.928799218,3938538.66073076,3153008.50882816
324,856,85,395,880625.386387634,716248.469886023,3795371.78397859,2573333.80039756,404788.85912165,3959655.71416926,3085892.01667568
320,43185,86,395,1112129.51838149,638806.274606955,3697110.78549243,2476174.44131752,338833.816476881,3973290.18276615,2790223.49439111
223,50079,87,395,1481561.98350166,905285.814023023,3355596.99292583,2142485.29898528,238580.004741914,3973399.4555836,2678987.53880419
284,537,88,395,1419033.92164324,740284.597164507,2769196.11582139,1550212.07189696,294347.802561585,3973627.13886552,2579148.56628143
245,431,89,395,1323456.36611056,892705.978128554,3281357.17381887,2062286.15180848,312120.024675004,3974428.58279133,2828088.23159063
91,105,90,395,1114446.36965546,852865.847512887,3219217.35554074,1998103.25312402,124154.717233023,3975063.31777708,2997892.8324158
106,131,91,395,832511.350300265,881604.42768168,2900349.4735788,1675693.45751673,178490.495263117,3975931.35905274,3309434.47321546
187,232,92,393,756902.482009896,668421.728021673,3458592.82842942,2240920.51955021,214920.328432821,3958343.71409428,3155054.57922817
379,7149,93,393,785180.531466051,518225.193283956,3057407.40944674,1835712.94235966,462100.084493346,3958685.99454717,2981308.0380311
289,63774,94,392,1150322.47931049,804079.911173496,3507249.61478311,2277617.12697587,248763.024187758,3951149.18797002,2899791.45902631
277,1338,95,392,1132735.30285447,683761.002724878,3299151.75179871,2067140.29633961,295583.493483159,3951217.02352013,2798724.78239888
216,507,96,392,990707.818714902,794057.03007855,3664550.16787627,2432528.76122386,319070.085057881,3957831.57445699,3057662.84482897
199,314,97,392,936476.352884525,693392.667975204,3302670.99594349,2066839.93560488,216039.862261727,3961851.05155092,3016133.02280615
275,47318,98,392,1127077.39749057,555915.362183662,3130067.52080325,1891894.58979992,400094.909807362,3961851.05155092,2691460.85359276
288,1476,99,392,1041168.59528855,923830.675926897,3807761.93476276,2569482.27253146,345936.710199284,3970699.27503824,3154262.53329788
500,21419,100,390,897364.428869379,578994.024583898,3862894.4518101,2637239.79102999,361479.861844201,3948174.78140423,2920730.42203062
439,15168,101,390,857930.386946994,642635.92955126,3476143.46388046,2246381.09673573,351846.584869798,3960225.80710169,3036491.97420101
389,12033,102,389,948561.848832093,482593.992784683,3133779.39630055,1904118.77435668,470435.936589365,3949137.39851915,2780693.17500268
385,7177,103,389,853667.938490873,606433.272987767,3189878.38471342,1959621.3210407,386114.959286514,3949175.52075357,3002296.75178798
273,588,104,389,795090.851861866,546152.851962711,3129039.48979189,1897662.78560542,339572.234729857,3949308.89264298,3002882.79015389
211,73249,105,388,1190228.61463066,641893.770952274,2929154.73992266,1707507.9325762,263452.997202529,3935124.14443881,2681117.50800009
135,176,106,388,1030455.7118247,980072.164600823,2911252.44148774,1688493.0119283,221281.212785163,3935942.19243432,3179886.85245011
173,351,107,388,772771.636117217,723674.337606901,3664443.56285054,2441602.62846103,300576.179771392,3941931.07020134,3187817.07386295
344,978,108,387,763250.512713499,461504.269755254,3138382.00061275,1914106.32455484,413309.796029551,3930045.83030325,2924891.44222641
170,94922,109,386,1433452.16531277,800147.152465774,3013517.07434299,1859030.77249925,206587.313925224,3917452.59729312,2517132.68896676
