"Loans","Loan requests","tick","Banks","Total central bank loans","Total cash & reserve","Total client loans","Total current accounts","Total interbank loans","Total securities","Total term deposits"
4.0,639.0,1.0,40,23948.15857551296,177631.2594449384,505035.29867630464,298187.37985373556,554.5558909913286,146639.14645253785,330065.7389010572
37.0,444.0,2.0,40,37149.619389647014,147435.01861212138,498131.7747099249,310007.5410840675,64320.719177236206,186438.1148109141,309022.2755209518
6.0,36.0,3.0,40,28336.25808232814,125516.0579559185,497567.30113301077,309416.8502635268,3626.0570564666477,222194.54880302373,331673.11016417743
25.0,316.0,4.0,40,36130.10491798429,109127.77445029507,474265.7632877283,291001.49751667597,43989.556169348725,233695.44581393633,314412.9115438829
38.0,239.0,5.0,40,32105.06975653228,90017.00022001745,484318.20241027814,301053.3297385179,24235.465348980164,238498.84181760918,304248.4571662485
29.0,116.0,6.0,40,33313.979052220835,95770.14029136093,454836.39125784044,271293.6100799009,38246.034400008626,241258.24175577008,311601.58963467967
39.0,121.0,7.0,40,33293.13159057931,95402.73900969382,481611.62712215737,298068.84594421764,25452.851235244158,242710.74628709565,312776.33621828456
31.0,170.0,8.0,40,37753.05784658489,91694.44866324886,448355.51331362396,268477.12680753996,35079.590666402,243551.2448736037,301836.46165764297
29.0,50.0,9.0,40,36742.47438837185,102714.78560128136,467777.3540931928,287898.9675871088,24225.25772167657,248865.97270737373,319192.9545857444
18.0,20.0,10.0,40,34880.8184258881,105445.49327836459,478401.0278027862,298522.64129670226,23824.99180842957,254451.16532445507,329370.51084239274
23.0,23.0,11.0,40,34644.51215177585,96244.44543172621,466351.96106523904,286348.20139449876,18397.73945135081,255293.86527285908,321328.8854719749
23.0,51.0,12.0,40,33757.505696696324,95134.43018791199,456160.15075712174,276057.89200276526,32404.044287904,257475.75262765776,323331.22367096145
29.0,61.0,13.0,40,33718.49607836259,81089.87631824955,437215.5430882297,256924.6309657435,26453.79734153957,257904.95669904788,309889.3027007252
39.0,299.0,14.0,40,41921.309819457274,98854.77203168288,457742.9433061739,278693.12357995834,32379.596542714477,258188.48015055334,318659.4437132164
19.0,20.0,15.0,40,40865.0506715767,79807.29560164176,426624.7652536733,247281.85054551216,18827.751409891793,259660.4026449497,302303.7062995887
31.0,278.0,16.0,40,49165.67656319135,89844.32741788475,434774.49026954593,255392.68798094135,36177.63606239174,259699.00481293883,304121.4448352696
34.0,91.0,17.0,40,48798.89433774016,89845.13877908907,457517.073233692,278116.7326955751,28338.468940309416,260560.6663721754,305430.9391195915
27.0,37.0,18.0,40,48169.285212076735,70739.64455749525,400202.1238815604,220213.8323922885,27777.17979976704,261275.91029840062,287846.14588225965
40.0,129.0,19.0,40,49444.87927617553,94591.24747505861,432938.3384385833,252950.0469493113,36399.27729306256,261468.2847483155,310614.5291856391
11.0,11.0,20.0,40,45806.38046719488,88825.02739815669,417876.93314573995,237733.8499535144,19403.99359621915,267881.77171638317,314900.29488578555
31.0,44.0,21.0,40,45686.05770041411,96420.1266303401,446917.18726619985,266774.10407397436,35349.17474042345,269060.2919245341,323794.2370929007
26.0,257.0,22.0,40,48118.15477724451,72350.78880044994,413664.87623444456,233956.27945588971,28499.44179818269,271093.1143612831,298959.6060840726
37.0,215.0,23.0,40,55733.50491684771,91566.07775372874,421715.4591110101,245405.56554732044,32250.639298181613,271105.1724446787,307588.9321065708
14.0,14.0,24.0,40,53039.04019827754,93537.65909450986,433938.17713834555,257628.283574656,22582.111742695393,275816.82754763006,316966.6332688735
23.0,28.0,25.0,40,51119.01740327054,108601.53047368473,456601.06979227497,280291.1762285854,23970.628763200024,279910.78638848354,338044.48628390883
16.0,18.0,26.0,40,50872.75974799039,87317.27524891552,413485.53868729214,236750.53718861105,23744.479395430135,283192.3818199734,320463.890107672
33.0,85.0,27.0,40,51643.94129204044,89630.50238648082,440266.6136271837,263531.6121285029,33773.79241734876,283680.4848536065,322494.0387348203
22.0,23.0,28.0,40,51578.68417262404,81875.056520168,432111.02051494655,255275.61000649686,25231.938150258735,285128.9673473411,316314.131553472
28.0,313.0,29.0,40,61211.85385034012,66006.2151628917,369918.2888707094,199143.81349684205,26993.94227186595,285128.9673473411,284893.7990840214
30.0,182.0,30.0,40,62839.46511843367,82157.10898236834,397374.39309464785,228552.52971167557,31100.40006867498,285235.0067060895,297671.91189573385
23.0,30.0,31.0,40,61983.02298424248,75638.08417754424,385356.15077114967,216413.1009166075,21688.797311036025,286947.46002307406,293760.8927337058
23.0,28.0,32.0,40,60288.95681570887,101019.69715494892,425991.729013542,257048.67915899982,29117.672772704496,289965.48264049,323854.59449706
9.0,9.0,33.0,40,58963.757045797334,80602.21758888595,397936.1507486389,228704.0008023628,15570.70380149201,292036.83905668336,307002.19511096296
21.0,22.0,34.0,40,58007.66764921767,117348.4026220021,451050.88682796713,281818.7368816911,26831.684746453273,296671.4803515588,349339.1108355344
6.0,6.0,35.0,40,56992.68639512093,78927.90867134558,409854.22204650054,240107.28161661568,12894.372344710602,300495.2508141575,316089.8610989391
27.0,294.0,36.0,40,67991.60153345171,81535.81942779548,382316.9723833333,218876.84114610185,31011.315923388465,300634.0791391472,301691.1808329409
23.0,29.0,37.0,40,65296.01918079452,79776.97678441559,391015.3124549248,227575.18121769332,17443.82991302656,304828.6659638985,306829.8351330582
24.0,31.0,38.0,40,64056.37386868968,89638.92581463655,403575.806825804,240135.67558857257,28927.346004394883,305693.178902545,318795.9424140306
23.0,46.0,39.0,40,64056.37386868968,72818.7977124815,385316.70431977557,221650.016116826,20930.03132934327,306128.1738586407,302573.03830902127
28.0,167.0,40.0,40,65165.18912584886,83175.11257010642,397072.54707719764,233622.72455135727,32798.33154097311,306139.84708247136,311640.6199159917
10.0,11.0,41.0,40,64417.57204208104,97333.60989803492,418418.07630865125,254968.2537828109,12015.973617627758,307529.72213910247,327936.60938431893
27.0,175.0,42.0,40,65385.16603643625,83960.4042686138,400009.2951238948,236380.83460217805,31723.358419122367,307687.17220526893,313880.25163232785
14.0,15.0,43.0,40,64555.95624972587,109012.17196893707,435442.2558807402,271813.7953590234,11442.102410539705,310026.276745133,342100.33365922555
11.0,11.0,44.0,40,61966.08392176885,104083.82406277576,437792.6030802121,274164.14255849516,21253.49411765593,315183.0373098193,344918.6186457078
26.0,37.0,45.0,40,61966.08392176885,69861.23379419369,396629.63661110116,232595.1010719637,24200.338265823342,315568.33552888443,311416.3492897504
32.0,299.0,46.0,40,69279.22735675296,84172.18172872806,394012.7762676427,235437.48356445832,30711.722408891503,315644.90663443034,313562.00316635944
25.0,144.0,47.0,40,68521.61824804648,71711.64603592495,373386.7348391347,218729.5040005146,23046.733208068807,317828.52977291116,300430.7205413441
32.0,48.0,48.0,40,64063.920947238556,80284.63470195464,390063.87350956234,235406.64267094218,32248.242785075472,317992.1409524604,313625.01768773113
16.0,19.0,49.0,40,61093.57725437064,95154.26712009903,415267.1139635373,260609.8831249172,14419.168557585748,319629.9985227508,333102.85136903386
24.0,38.0,50.0,40,61093.57725437064,72673.2006555158,386852.5773386558,231888.17243367384,27541.06908356311,319999.3302106571,311210.04465945275
26.0,327.0,51.0,40,69025.270310958,83962.01474165708,378027.91952148976,228917.6521378543,23358.078473563302,320044.797035646,308980.6592099781
19.0,19.0,52.0,40,64379.76477992728,86956.98090639724,388821.8083807815,239711.54099714602,14888.812056423865,320349.29980878776,316925.6336788909
14.0,14.0,53.0,40,63127.39726653349,95046.01659915372,402212.4310395542,253102.16365591853,16851.25743358401,321212.0374505905,327129.774526844
21.0,26.0,54.0,40,63127.39726653349,79792.03657935938,383363.68109078566,234087.20389344404,21777.877414398725,321998.53412229125,312805.53358813736
24.0,321.0,55.0,40,75176.91989578634,64838.195931488954,347337.4820772775,197712.02845644276,24761.99245759192,322146.73640327057,286216.26527512365
21.0,21.0,56.0,40,75105.66807077602,103270.22468126137,396716.73179186817,247091.2781710336,19767.201279049783,323201.46232825593,325774.27177489165
14.0,16.0,57.0,40,72895.38674087782,76265.07226643148,377530.35005426325,227696.87950924796,21007.462785357817,325000.9915779769,303006.6065915146
26.0,34.0,58.0,40,72895.38674087782,85900.75116135475,379794.284457427,229955.620577294,26661.38111566586,325201.6262068893,312842.9201153503
16.0,31.0,59.0,40,72559.15132152125,78308.80482779787,372308.71505503776,222408.99848058494,20590.20948115894,326080.8625892218,306529.57899468916
27.0,48.0,60.0,40,72559.15132152125,81068.64223584613,375719.43870650925,225819.7221320565,27695.29726212787,326195.8363558756,309404.39016939123
27.0,47.0,61.0,40,72559.15132152125,66986.19216478341,358664.8248328587,208597.74809453366,27215.26453897963,326208.65394161653,295474.0609760033
28.0,46.0,62.0,40,72559.15132152125,84590.51535654004,380031.35069615854,229964.2739578335,28178.94477200489,326519.70588349743,313389.43610964087
20.0,61.0,63.0,40,72645.39404090609,72319.01654382344,365922.1249715831,215752.12947303115,24189.10795601803,326841.7266400145,301472.88088629005
20.0,20.0,64.0,40,72557.83731678045,103084.22310315634,407458.80287847127,257288.80737991948,22011.81773712262,328632.2129810233,334116.13051075744
13.0,15.0,65.0,40,71695.64346931869,77645.46850940908,379880.1865376848,229454.57967435458,21979.543332822628,329673.3936470739,310813.7739956733
23.0,25.0,66.0,40,71695.64346931869,89413.5872846451,393629.50946579064,243184.29454952356,27747.980743201057,330700.69189405034,323609.1910178857
10.0,10.0,67.0,40,67102.29673553964,92411.69507143307,408048.63449786964,257603.41958160268,15940.070137481027,334464.1750942487,334964.12873865105
24.0,259.0,68.0,40,76104.48380392489,70959.93679819145,359280.0048928117,214745.74969300668,24988.119707934453,334464.1750942487,298657.96948737284
21.0,23.0,69.0,40,69430.75116953382,88351.47525629975,396063.87449027045,251525.62724907778,24560.77830283763,334942.84303514333,323201.9085207668
9.0,9.0,70.0,40,62668.243413654964,87025.90076467388,396072.0827633996,251533.83550370127,15132.270022650102,336380.0651330638,330076.08867655665
27.0,292.0,71.0,40,69995.91430878198,60281.42395657462,355797.29069051065,210894.71648433403,26846.991129879956,336380.0651330638,296341.288970392
18.0,18.0,72.0,40,69540.04592346148,100526.11852268438,406533.874455018,261631.30024884152,16283.708417286985,337439.1601776147,338100.94696637307
7.0,7.0,73.0,40,59529.30228464,90240.54126823934,409384.06634488294,264481.4921387064,13747.148720358211,340258.68166585284,340645.63483898784
24.0,261.0,74.0,40,63899.123968765365,65296.76468420033,375477.10970037145,230177.7908994603,26066.109753358927,340258.68166585284,311622.2702170428
27.0,238.0,75.0,40,69387.24883838768,70051.59535551217,374615.06851788715,229307.5578756787,27216.7833745954,340258.68166585284,310896.2363573294
27.0,87.0,76.0,40,69429.89889431869,72236.23213854476,377160.01717146504,231852.50652925647,24207.433149343567,340258.68166585284,313038.22308443097
26.0,330.0,77.0,40,71632.01276163351,70112.32277617289,372072.8687899481,226718.82927996994,27355.935753691316,340258.68166585284,308755.03176790953
25.0,252.0,78.0,40,72956.39922097731,75308.62036881573,367365.7477341491,226480.72748577627,23944.340876253897,340258.68166585284,308555.3985937812
17.0,21.0,79.0,40,67980.09214330828,85087.31696278387,382002.42403707403,241117.40378870125,18035.14483965652,341934.5103347456,324986.230934311
17.0,19.0,80.0,40,66068.14783468666,78827.96228165369,381703.4213058101,240785.04767528898,14202.627731077828,341934.5103347456,320681.86422885716
17.0,21.0,81.0,40,64170.49947967039,83833.60921511894,397632.74752147525,256713.36560624052,20775.356813605344,342669.6031884736,328347.46220880875
24.0,35.0,82.0,40,64170.49947967039,69284.54596720093,373574.4132930799,232443.76348822974,21173.914422242364,342676.4075253197,313959.451089606
24.0,338.0,83.0,40,70157.14286362346,82084.4187264628,381592.7811750386,240462.13137018838,25883.08369410399,342676.4075253197,320772.6804649146
26.0,40.0,84.0,40,70157.14286362346,66935.17145906945,365014.7954186884,223706.98600897688,18541.562345595372,342676.4075253197,305773.4257447233
22.0,516.0,85.0,40,82671.27231434919,65395.06075308245,346479.0471794664,205562.5925802553,28586.188412664065,342676.4075253197,291328.10892595054
22.0,27.0,86.0,40,81980.51904360496,85026.17575114913,368651.16518455604,227733.89823403265,21729.192476011493,342686.2588769903,311659.82854643196
19.0,177.0,87.0,40,81583.96534394723,77628.44975186663,387805.0074393378,246875.9209407737,27543.95437741927,343059.3604726406,305097.3823048731
23.0,46.0,88.0,40,80788.54333455878,80861.0200965342,366126.29196365294,224993.91663706469,21097.606626503824,343195.8328298363,309261.84701612475
18.0,19.0,89.0,40,76605.39467266183,82862.06690336617,378713.9402255528,237581.56489896466,19385.10015249169,343351.4921625797,315601.7018175971
13.0,14.0,90.0,40,68612.16271268931,102940.55801398071,415080.9979932777,273948.62266668933,11620.442823631854,348149.82731699926,348471.7600426036
27.0,75.0,91.0,40,68678.5702801318,60547.79461103868,370597.62969265063,229000.18913414067,21381.67538235445,348248.67409396014,306530.84499961004
28.0,68.0,92.0,40,68769.5092929692,75369.50416856955,380821.64459248167,239224.20403397174,27124.386546411442,348248.67409396014,321261.6155443034
29.0,122.0,93.0,40,68904.18314679434,59106.837829421,371639.2508633512,229960.47180452422,26085.792332188754,348455.27792433655,305231.1835021279
27.0,291.0,94.0,40,75089.85553968516,65174.8769831479,364210.5539187053,222458.3208473441,26854.67462942844,348455.27792433655,305114.7149485003
21.0,22.0,95.0,40,74644.04616130696,75694.81030150395,376757.297231799,235005.06416043788,21788.600290826667,348455.98633209086,316081.16605298885
25.0,110.0,96.0,40,75476.80709526064,70500.96999283574,364851.01515809575,222981.66456337256,23378.45803621182,348455.98633209086,310114.23412960087
18.0,780.0,97.0,40,95181.57405023923,55433.095473230525,321170.6796213639,180607.77783398004,23993.532135187947,348455.98633209086,274123.8103352998
20.0,25.0,98.0,40,86225.3723971184,113518.8401983793,401140.18015448295,260573.38305791002,21365.666817492354,350432.45194077294,343142.22232225153
10.0,11.0,99.0,40,73782.58648781909,64578.89030980693,357351.64600511675,216329.2070078242,14837.45304595861,350971.7750731143,307540.39970152726
25.0,335.0,100.0,40,82927.53954097848,70749.8163890986,358004.70208719675,217003.35179656278,27271.087877951453,350971.7750731143,304581.27802697563
20.0,25.0,101.0,40,82399.9678313263,72696.20366325542,360753.6475229552,219752.29723232114,18438.687744332095,350971.7750731143,307055.23701078456
25.0,226.0,102.0,40,82741.90906956866,68573.47574808337,355797.7295473868,214754.01203072065,25348.030282682317,350971.7750731143,302634.7725024535
10.0,10.0,103.0,40,78422.16213747136,97468.2644236821,371786.07641405467,230719.30486836276,14776.736757859268,351997.08766356186,336874.620700597
17.0,56.0,104.0,40,76020.63613696299,78119.5761538665,371217.09414910834,230133.6362602042,16918.64389034824,352473.14728277485,320576.19658955
29.0,326.0,105.0,40,81580.221358047,57348.08225802772,347780.55886335426,206433.8726079309,27116.505532371953,352473.14728277485,294505.8212262601
28.0,214.0,106.0,40,83860.11410000376,72805.79812094352,359403.50848657195,218056.82223114872,25916.31322394976,352473.14728277485,307683.6443472191
16.0,19.0,107.0,40,78418.2923219951,82974.10107075537,377256.9585241659,235910.27226874264,17639.59304580917,352615.3801068877,323436.0018991525
17.0,847.0,108.0,40,104855.07266696496,58273.40001809651,306512.6195260438,171458.46859533974,20327.454289987447,352615.3801068877,266382.8451478003
19.0,56.0,109.0,40,95205.15736986567,102432.85855110452,366296.51140302507,231241.43705803514,18199.63967634588,354557.30877029576,322134.14764131565
8.0,8.0,110.0,40,73511.62781225311,77372.73255509337,363254.43878921575,228175.33441206615,11580.630770016025,355390.6456420486,319625.96985255746
26.0,37.0,111.0,40,73312.68472379574,78245.9187100307,355441.6994229898,220285.14199184137,19853.382604776536,355390.6456420486,320727.0598697842
